Symbol,Company,Weight
AAPL,Apple Inc.,6.984519
MSFT,Microsoft Corporation,6.089516
AMZN,Amazon.com Inc.,3.635455
GOOGL,Alphabet Inc. Class A,2.198223
GOOG,Alphabet Inc. Class C,2.043296
TSLA,Tesla Inc,1.793807
NVDA,NVIDIA Corporation,1.63489
BRK-B,Berkshire Hathaway Inc. Class B,1.55462
FB,Meta Platforms Inc. Class A,1.352687
UNH,UnitedHealth Group Incorporated,1.182394
JPM,JPMorgan Chase Co.,1.176289
JNJ,Johnson Johnson,1.146411
PG,Procter Gamble Company,1.011683
V,Visa Inc. Class A,1.00347
HD,Home Depot Inc.,0.910284
XOM,Exxon Mobil Corporation,0.883682
MA,Mastercard Incorporated Class A,0.882964
BAC,Bank of America Corp,0.86458
DIS,Walt Disney Company,0.747574
CVX,Chevron Corporation,0.716525
PFE,Pfizer Inc.,0.71037
ABBV,AbbVie Inc.,0.70721
AVGO,Broadcom Inc.,0.657441
KO,Coca-Cola Company,0.64776
CSCO,Cisco Systems Inc.,0.635646
PEP,PepsiCo Inc.,0.623634
COST,Costco Wholesale Corporation,0.615112
ADBE,Adobe Inc.,0.606776
VZ,Verizon Communications Inc.,0.599573
TMO,Thermo Fisher Scientific Inc.,0.586109
WFC,Wells Fargo Company,0.578665
CMCSA,Comcast Corporation Class A,0.578375
ABT,Abbott Laboratories,0.577986
CRM,salesforce.com inc.,0.550757
ACN,Accenture Plc Class A,0.550601
LLY,Eli Lilly and Company,0.531467
WMT,Walmart Inc.,0.527586
AMD,Advanced Micro Devices Inc.,0.524861
INTC,Intel Corporation,0.523242
QCOM,Qualcomm Inc,0.518054
MRK,Merck Co. Inc.,0.510998
MCD,McDonald s Corporation,0.50418
NKE,NIKE Inc. Class B,0.481605
NFLX,Netflix Inc.,0.475707
DHR,Danaher Corporation,0.475585
T,AT T Inc.,0.455433
PM,Philip Morris International Inc.,0.439915
TXN,Texas Instruments Incorporated,0.4313
UNP,Union Pacific Corporation,0.428552
UPS,United Parcel Service Inc. Class B,0.416018
BMY,Bristol-Myers Squibb Company,0.409434
NEE,NextEra Energy Inc.,0.40762
LOW,Lowe s Companies Inc.,0.406896
LIN,Linde plc,0.402613
RTX,Raytheon Technologies Corporation,0.389284
INTU,Intuit Inc.,0.386707
MDT,Medtronic Plc,0.382935
CVS,CVS Health Corporation,0.365126
MS,Morgan Stanley,0.362911
HON,Honeywell International Inc.,0.345709
AMGN,Amgen Inc.,0.340934
SCHW,Charles Schwab Corporation,0.340596
PYPL,PayPal Holdings Inc.,0.339788
ORCL,Oracle Corporation,0.332226
AMAT,Applied Materials Inc.,0.331724
C,Citigroup Inc.,0.331478
AXP,American Express Company,0.325369
COP,ConocoPhillips,0.318611
GS,Goldman Sachs Group Inc.,0.317979
NOW,ServiceNow Inc.,0.314534
IBM,International Business Machines Corporation,0.300484
BA,Boeing Company,0.300462
ANTM,Anthem Inc.,0.296125
SBUX,Starbucks Corporation,0.294651
PLD,Prologis Inc.,0.290939
AMT,American Tower Corporation,0.289617
BLK,BlackRock Inc.,0.287356
ISRG,Intuitive Surgical Inc.,0.282368
GE,General Electric Company,0.279195
CAT,Caterpillar Inc.,0.275106
MU,Micron Technology Inc.,0.274484
LMT,Lockheed Martin Corporation,0.268086
DE,Deere Company,0.267138
BKNG,Booking Holdings Inc.,0.25909
TGT,Target Corporation,0.257418
SPGI,S P Global Inc.,0.252768
MO,Altria Group Inc,0.251305
ZTS,Zoetis Inc. Class A,0.248791
MDLZ,Mondelez International Inc. Class A,0.248417
SYK,Stryker Corporation,0.237749
ADI,Analog Devices Inc.,0.236277
CB,Chubb Limited,0.236073
CME,CME Group Inc. Class A,0.234239
ADP,Automatic Data Processing Inc.,0.232875
MMM,3M Company,0.228613
PNC,PNC Financial Services Group Inc.,0.228526
LRCX,Lam Research Corporation,0.218202
TFC,Truist Financial Corporation,0.217249
TJX,TJX Companies Inc,0.214569
MMC,Marsh McLennan Companies Inc.,0.211393
BDX,Becton Dickinson and Company,0.210237
GILD,Gilead Sciences Inc.,0.208882
DUK,Duke Energy Corporation,0.205213
CSX,CSX Corporation,0.205201
USB,U.S. Bancorp,0.205196
CI,Cigna Corporation,0.2048
CHTR,Charter Communications Inc. Class A,0.199779
TMUS,T-Mobile US Inc.,0.19937
ICE,Intercontinental Exchange Inc.,0.198015
CCI,Crown Castle International Corp,0.196039
EW,Edwards Lifesciences Corporation,0.187849
EL,Estee Lauder Companies Inc. Class A,0.186869
F,Ford Motor Company,0.184974
GM,General Motors Company,0.184956
SO,Southern Company,0.183005
EOG,EOG Resources Inc.,0.176691
FCX,Freeport-McMoRan Inc.,0.176476
REGN,Regeneron Pharmaceuticals Inc.,0.176183
CL,Colgate-Palmolive Company,0.175243
AON,Aon Plc Class A,0.174774
EQIX,Equinix Inc.,0.174054
ATVI,Activision Blizzard Inc.,0.173165
COF,Capital One Financial Corporation,0.173165
BSX,Boston Scientific Corporation,0.172012
SHW,Sherwin-Williams Company,0.171789
D,Dominion Energy Inc,0.171462
NSC,Norfolk Southern Corporation,0.170228
ITW,Illinois Tool Works Inc.,0.16873
PGR,Progressive Corporation,0.165479
ETN,Eaton Corp. Plc,0.164706
NOC,Northrop Grumman Corporation,0.163152
VRTX,Vertex Pharmaceuticals Incorporated,0.161174
FIS,Fidelity National Information Services Inc.,0.160603
HCA,HCA Healthcare Inc,0.160595
FISV,Fiserv Inc.,0.156565
MRNA,Moderna Inc.,0.151767
WM,Waste Management Inc.,0.15117
KLAC,KLA Corporation,0.150335
HUM,Humana Inc.,0.148744
EMR,Emerson Electric Co.,0.147885
SLB,Schlumberger NV,0.147284
PSA,Public Storage,0.147269
NEM,Newmont Corporation,0.146572
FDX,FedEx Corporation,0.146121
MCO,Moody s Corporation,0.143346
APD,Air Products and Chemicals Inc.,0.143085
PXD,Pioneer Natural Resources Company,0.140851
NXPI,NXP Semiconductors NV,0.139517
ILMN,Illumina Inc.,0.139445
GD,General Dynamics Corporation,0.138657
AIG,American International Group Inc.,0.138039
ADSK,Autodesk Inc.,0.13196
MET,MetLife Inc.,0.131375
CNC,Centene Corporation,0.129554
SNPS,Synopsys Inc.,0.129097
ROP,Roper Technologies Inc.,0.128689
TEL,TE Connectivity Ltd.,0.127539
MAR,Marriott International Inc. Class A,0.1269
MPC,Marathon Petroleum Corporation,0.126204
JCI,Johnson Controls International plc,0.12495
SPG,Simon Property Group Inc.,0.124501
CTSH,Cognizant Technology Solutions Corporation Class A,0.124363
APH,Amphenol Corporation Class A,0.123498
LHX,L3Harris Technologies Inc,0.123458
DG,Dollar General Corporation,0.123184
DOW,Dow Inc.,0.120423
ECL,Ecolab Inc.,0.120347
IQV,IQVIA Holdings Inc,0.120331
SYY,Sysco Corporation,0.11945
IDXX,IDEXX Laboratories Inc.,0.119221
AEP,American Electric Power Company Inc.,0.119049
KMB,Kimberly-Clark Corporation,0.119025
ORLY,O Reilly Automotive Inc.,0.118171
INFO,IHS Markit Ltd.,0.118116
FTNT,Fortinet Inc.,0.117918
SRE,Sempra Energy,0.117172
ADM,Archer-Daniels-Midland Company,0.116621
BAX,Baxter International Inc.,0.116293
MSCI,MSCI Inc. Class A,0.115226
CMG,Chipotle Mexican Grill Inc.,0.114385
TRV,Travelers Companies Inc.,0.113408
PRU,Prudential Financial Inc.,0.113401
